City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,angaur state,6.906,134.13,300.55,81,100,2.81,PW,2023-07-17 03:00:00
141,cambria,35.5641,-121.0808,299.23,69,88,0.8,US,2023-07-17 03:00:00
142,santa ines,-3.6667,-45.38,296.38,74,48,0.75,BR,2023-07-17 03:00:00
143,kalmunai,7.4167,81.8167,302.57,75,93,2.84,LK,2023-07-17 03:00:00
144,vanimo,-2.6741,141.3028,301.17,83,90,1.12,PG,2023-07-17 03:00:00
145,talnakh,69.4865,88.3972,283.08,71,89,4.32,RU,2023-07-17 03:00:00
146,eastham,41.8301,-69.9739,296.11,88,100,5.64,US,2023-07-17 03:00:00
147,coquimbo,-29.9533,-71.3436,286.74,93,51,1.3,CL,2023-07-17 03:00:00
148,hafar al-batin,28.4328,45.9708,307.02,10,0,3.93,SA,2023-07-17 03:00:00
149,petropavlovsk-kamchatsky,53.0452,158.6483,291.01,75,74,1.68,RU,2023-07-17 03:00:00
150,inhambane,-23.865,35.3833,289.92,76,8,1.76,MZ,2023-07-17 03:00:00
151,namibe,-15.1961,12.1522,293.26,67,0,1.69,AO,2023-07-17 03:00:00
152,wynyard,-41.0,145.7167,286.72,73,70,5.5,AU,2023-07-17 03:00:00
153,aral,40.5156,81.2636,308.4,20,83,5.16,CN,2023-07-17 03:00:00
154,puerto baquerizo moreno,-0.9,-89.6,298.17,85,59,5.56,EC,2023-07-17 03:00:00
155,kampong speu,11.5,104.3333,300.41,79,100,5.75,KH,2023-07-17 03:00:00
156,maceio,-9.6658,-35.7353,297.32,90,7,3.16,BR,2023-07-17 03:00:00
157,longyearbyen,78.2186,15.6401,281.89,73,10,3.61,SJ,2023-07-17 03:00:00
158,sogndal,61.2283,7.1003,287.03,97,100,2.1,NO,2023-07-17 03:00:00
159,walvis bay,-22.9575,14.5053,293.73,28,0,4.62,NA,2023-07-17 03:00:00
160,winnemucca,40.973,-117.7357,309.94,6,100,2.76,US,2023-07-17 03:00:00
161,st. john's,47.5649,-52.7093,292.12,94,81,4.04,CA,2023-07-17 03:00:00
162,carqueiranne,43.0953,6.073,297.52,85,9,2.65,FR,2023-07-17 03:00:00
163,shingu,33.7333,135.9833,305.92,58,16,1.0,JP,2023-07-17 03:00:00
164,nola,40.922,14.5329,300.44,60,0,0.88,IT,2023-07-17 03:00:00
165,port macquarie,-31.4333,152.9167,290.83,77,68,2.28,AU,2023-07-17 03:00:00
166,east london,-33.0153,27.9116,289.71,45,62,2.19,ZA,2023-07-17 03:00:00
167,ust'-ilimsk,58.0006,102.6619,295.73,74,96,3.65,RU,2023-07-17 03:00:00
168,klyuchi,52.2667,79.1667,294.96,76,11,3.47,RU,2023-07-17 03:00:00
169,quesada,10.3238,-84.4271,296.92,99,100,1.36,CR,2023-07-17 03:00:00
170,yung shue wan,22.2333,114.1167,302.39,80,100,18.44,HK,2023-07-17 03:00:00
171,conduaga,8.862,117.4893,302.68,77,92,5.5,PH,2023-07-17 03:00:00
172,heroica matamoros,25.8833,-97.5,303.6,68,7,5.05,MX,2023-07-17 03:00:00
173,mirandela,41.4874,-7.187,290.13,56,73,1.87,PT,2023-07-17 03:00:00
174,tanjung pandan,-2.75,107.65,303.56,79,26,4.73,ID,2023-07-17 03:00:00
175,nuku'alofa,-21.1333,-175.2,296.63,68,40,7.64,TO,2023-07-17 03:00:00
176,mount gambier,-37.8333,140.7667,285.94,72,9,4.61,AU,2023-07-17 03:00:00
177,kaga bandoro,6.9896,19.1874,294.84,95,61,0.43,CF,2023-07-17 03:00:00
178,benin city,6.335,5.6275,296.57,98,97,1.0,NG,2023-07-17 03:00:00
179,tarawa,1.419,172.984,303.44,71,38,3.5,KI,2023-07-17 03:00:00
180,pangai,-19.8,-174.35,296.06,78,73,9.04,TO,2023-07-17 03:00:00
181,port-vila,-17.7338,168.3219,297.69,73,78,9.74,VU,2023-07-17 03:00:00
182,lesnoy,57.6198,63.0784,291.68,83,72,4.02,RU,2023-07-17 03:00:00
183,goundi,9.3627,17.366,297.8,75,5,1.33,TD,2023-07-17 03:00:00
184,arteche,12.2645,125.4048,304.95,67,71,1.02,PH,2023-07-17 03:00:00
185,tukrah,32.5341,20.5791,299.34,79,0,4.64,LY,2023-07-17 03:00:00
186,lompoc,34.6391,-120.4579,293.65,79,28,2.35,US,2023-07-17 03:00:00
187,newman,37.3138,-121.0208,311.95,14,100,3.01,US,2023-07-17 03:00:00
188,brisas de zicatela,15.8369,-97.0419,301.49,70,100,2.35,MX,2023-07-17 03:00:00
189,cadereyta,25.5833,-99.9833,309.55,23,19,6.93,MX,2023-07-17 03:00:00
190,dudinka,69.4058,86.1778,286.29,59,53,7.65,RU,2023-07-17 03:00:00
191,ongjin,37.9347,125.3619,298.02,82,100,1.71,KP,2023-07-17 03:00:00
192,hongch'on,37.6918,127.8857,296.57,95,97,1.7,KR,2023-07-17 03:00:00
193,acarau,-2.8856,-40.12,298.49,83,40,5.88,BR,2023-07-17 03:00:00
194,westport,41.1415,-73.3579,296.99,93,60,1.86,US,2023-07-17 03:00:00
195,selfoss,63.9331,-20.9971,281.72,71,31,4.53,IS,2023-07-17 03:00:00
196,znamenskoye,57.1281,73.8282,292.98,70,73,1.02,RU,2023-07-17 03:00:00
197,vadso,70.0744,29.7487,285.09,88,83,4.0,NO,2023-07-17 03:00:00
198,sandpoint,48.2766,-116.5533,303.33,29,33,0.73,US,2023-07-17 03:00:00
199,kanye,-24.9667,25.3327,282.87,39,0,1.89,BW,2023-07-17 03:00:00
200,magdagachi,53.45,125.8,304.89,39,13,1.62,RU,2023-07-17 03:00:00
201,tura,25.5198,90.2201,299.76,86,100,2.14,IN,2023-07-17 03:00:00
202,palikir - national government center,6.9248,158.1611,301.14,80,100,5.33,FM,2023-07-17 03:00:00
203,copiapo,-27.3667,-70.3333,289.33,54,100,0.64,CL,2023-07-17 03:00:00
204,houlton,46.1262,-67.8403,294.19,94,100,5.31,US,2023-07-17 03:00:00
205,kailua-kona,19.6406,-155.9956,299.42,71,50,1.97,US,2023-07-17 03:00:00
206,margaret river,-33.95,115.0667,288.19,79,76,2.87,AU,2023-07-17 03:00:00
207,neyriz,29.1988,54.3278,300.91,28,1,1.0,IR,2023-07-17 03:00:00
208,lockport,41.5895,-88.0578,295.56,72,2,2.94,US,2023-07-17 03:00:00
209,missoula,47.0166,-113.8009,299.41,29,78,1.43,US,2023-07-17 03:00:00
210,zhytkavichy,52.2168,27.8561,292.36,85,52,2.6,BY,2023-07-17 03:00:00
211,tayshet,55.9342,98.0044,293.39,72,99,2.92,RU,2023-07-17 03:00:00
212,torbali,38.1519,27.3622,297.78,56,0,3.24,TR,2023-07-17 03:00:00
213,cabo san lucas,22.8909,-109.9124,303.05,71,2,3.5,MX,2023-07-17 03:00:00
214,waupaca,44.358,-89.086,291.42,73,40,3.2,US,2023-07-17 03:00:00
215,port mathurin,-19.6833,63.4167,296.28,69,79,11.42,MU,2023-07-17 03:00:00
216,raduzhnyy,62.0961,77.475,289.61,51,56,1.6,RU,2023-07-17 03:00:00
217,viale,-31.8678,-60.0072,278.96,71,12,2.58,AR,2023-07-17 03:00:00
218,san patricio,28.017,-97.5169,303.05,64,28,7.11,US,2023-07-17 03:00:00
219,saint-joseph,-21.3667,55.6167,294.6,82,28,6.08,RE,2023-07-17 03:00:00
220,isangel,-19.55,169.2667,295.96,69,61,7.5,VU,2023-07-17 03:00:00
221,noyabrsk,63.1994,75.4507,291.08,53,51,4.74,RU,2023-07-17 03:00:00
222,crucecita,-28.95,-58.9833,282.56,74,19,3.33,AR,2023-07-17 03:00:00
223,lycksele,64.5954,18.6735,286.75,93,35,4.35,SE,2023-07-17 03:00:00
224,sassandra,4.95,-6.0833,297.07,94,98,2.98,CI,2023-07-17 03:00:00
225,camocim,-2.9022,-40.8411,298.8,79,53,6.26,BR,2023-07-17 03:00:00
226,vorgashor,67.5833,63.95,288.16,91,91,4.49,RU,2023-07-17 03:00:00
227,gaspe,48.8334,-64.4819,295.03,93,100,3.73,CA,2023-07-17 03:00:00
228,papatowai,-46.5619,169.4708,283.8,80,75,7.58,NZ,2023-07-17 03:00:00
229,praia da vitoria,38.7333,-27.0667,293.05,76,71,3.72,PT,2023-07-17 03:00:00
230,constitucion,-35.3333,-72.4167,280.84,64,92,2.14,CL,2023-07-17 03:00:00
231,dhidhdhoo,6.8833,73.1,301.21,78,85,7.27,MV,2023-07-17 03:00:00
232,uturoa,-16.7333,-151.4333,298.94,65,0,4.3,PF,2023-07-17 03:00:00
233,bakchar,57.0186,82.0711,291.75,73,5,2.91,RU,2023-07-17 03:00:00
234,la sarre,48.8002,-79.1996,291.47,84,67,1.65,CA,2023-07-17 03:00:00
235,greymouth,-42.4667,171.2,284.58,83,97,1.51,NZ,2023-07-17 03:00:00
236,puerto aysen,-45.4,-72.7,268.93,98,48,0.86,CL,2023-07-17 03:00:00
237,yeppoon,-23.1333,150.7333,296.68,70,63,7.95,AU,2023-07-17 03:00:00
238,islamorada,24.9243,-80.6278,303.54,77,100,1.94,US,2023-07-17 03:00:00
239,portland,45.5234,-122.6762,303.08,39,16,5.1,US,2023-07-17 03:00:00
240,porto novo,6.4965,2.6036,299.23,91,99,3.08,BJ,2023-07-17 03:00:00
241,kavarna,43.4333,28.3333,294.9,82,0,2.0,BG,2023-07-17 03:00:00
242,dunedin,-45.8742,170.5036,287.52,50,65,5.23,NZ,2023-07-17 03:00:00
243,barcelos,41.5388,-8.6151,286.9,88,45,1.92,PT,2023-07-17 03:00:00
244,nelson bay,-32.7167,152.15,290.83,84,55,2.93,AU,2023-07-17 03:00:00
245,kingston,17.997,-76.7936,300.86,84,18,1.02,JM,2023-07-17 03:00:00
246,wuyishan,28.0047,117.8114,302.97,77,72,0.88,CN,2023-07-17 03:00:00
247,cho dok,10.7,105.1167,299.64,76,100,6.44,VN,2023-07-17 03:00:00
248,mhamid,29.82,-5.72,305.97,6,0,4.44,MA,2023-07-17 03:00:00
249,port hedland,-20.3167,118.5667,296.73,39,11,3.98,AU,2023-07-17 03:00:00
250,rypin,53.066,19.4094,289.2,84,7,2.71,PL,2023-07-17 03:00:00
251,vernon,50.2581,-119.2691,304.91,28,53,1.51,CA,2023-07-17 03:00:00
252,kiomboi,-4.2667,34.3667,288.1,56,1,3.37,TZ,2023-07-17 03:00:00
253,saint croix,17.7397,-64.7388,300.01,80,25,8.43,VI,2023-07-17 03:00:00
254,palmeiras de goias,-16.805,-49.9258,296.21,44,45,1.42,BR,2023-07-17 03:00:00
255,calca,-13.3333,-71.95,285.69,78,35,2.1,PE,2023-07-17 03:00:00
256,ust-nera,64.5667,143.2,289.64,47,87,2.98,RU,2023-07-17 03:00:00
257,khandyga,62.6667,135.6,292.01,45,38,2.39,RU,2023-07-17 03:00:00
258,ambon,-3.6954,128.1814,299.08,92,44,7.41,ID,2023-07-17 03:00:00
259,tuy hoa,13.0833,109.3,304.25,65,99,8.17,VN,2023-07-17 03:00:00
260,stornoway,58.2093,-6.3865,284.09,89,60,4.07,GB,2023-07-17 03:00:00
261,castro,-24.7911,-50.0119,284.97,78,65,1.03,BR,2023-07-17 03:00:00
262,polyarnyy,69.1989,33.4478,288.86,69,75,4.12,RU,2023-07-17 03:00:00
263,kiunga,-6.1219,141.2906,301.28,74,90,1.81,PG,2023-07-17 03:00:00
264,antsiranana,-12.2787,49.2917,294.9,81,30,3.56,MG,2023-07-17 03:00:00
265,beypore,11.1833,75.8167,299.76,85,83,3.09,IN,2023-07-17 03:00:00
266,kedougou,12.5579,-12.1743,298.18,95,47,1.66,SN,2023-07-17 03:00:00
267,rockland,41.1668,-74.0496,296.2,95,98,0.91,US,2023-07-17 03:00:00
268,ndele,8.4109,20.6473,295.02,94,42,0.62,CF,2023-07-17 03:00:00
269,bintulu,3.1667,113.0333,303.44,83,45,1.88,MY,2023-07-17 03:00:00
270,port augusta,-32.5,137.7667,290.05,40,0,2.36,AU,2023-07-17 03:00:00
271,puerto san jose,13.9256,-90.8244,300.71,80,100,3.05,GT,2023-07-17 03:00:00
272,fale old settlement,-9.3852,-171.2468,301.79,75,22,7.14,TK,2023-07-17 03:00:00
273,ouarzazat,30.9189,-6.8934,301.89,7,0,0.32,MA,2023-07-17 03:00:00
274,cabedelo,-6.9811,-34.8339,297.87,81,12,4.69,BR,2023-07-17 03:00:00
275,tofol,5.3248,163.0078,302.39,78,82,5.15,FM,2023-07-17 03:00:00
276,vilyuchinsk,52.9306,158.4028,291.97,86,50,1.67,RU,2023-07-17 03:00:00
277,talara,-4.5772,-81.2719,296.18,84,61,6.46,PE,2023-07-17 03:00:00
278,tonning,54.3167,8.95,289.58,68,89,7.51,DE,2023-07-17 03:00:00
279,mantua,45.1667,10.7833,297.25,85,0,1.56,IT,2023-07-17 03:00:00
280,sucre,-19.0333,-65.2627,286.35,49,8,2.09,BO,2023-07-17 03:00:00
281,quepos,9.4236,-84.1652,297.58,95,99,0.71,CR,2023-07-17 03:00:00
282,whitehorse,60.7161,-135.0538,298.56,27,41,3.34,CA,2023-07-17 03:00:00
283,salmon arm,50.6998,-119.3024,305.06,29,56,2.14,CA,2023-07-17 03:00:00
284,homer,59.6425,-151.5483,285.59,92,100,1.4,US,2023-07-17 03:00:00
285,orange walk,17.8333,-88.8333,300.59,78,82,1.45,BZ,2023-07-17 03:00:00
286,cuyo,10.8525,121.0086,301.95,78,90,7.83,PH,2023-07-17 03:00:00
287,kenora,49.8167,-94.4337,287.25,86,83,4.73,CA,2023-07-17 03:00:00
288,hepo,23.4308,115.8299,299.62,96,95,3.62,CN,2023-07-17 03:00:00
289,port isabel,26.0734,-97.2086,303.29,76,3,5.06,US,2023-07-17 03:00:00
290,tsaratanana,-16.7833,47.65,293.1,73,77,3.84,MG,2023-07-17 03:00:00
291,rio grande,-32.035,-52.0986,281.75,72,62,4.72,BR,2023-07-17 03:00:00
292,ghat,24.9647,10.1728,301.86,13,70,0.65,LY,2023-07-17 03:00:00
293,urucara,-2.5364,-57.76,300.57,58,99,1.6,BR,2023-07-17 03:00:00
294,shimoda,34.6667,138.95,304.75,77,28,1.39,JP,2023-07-17 03:00:00
295,arraial do cabo,-22.9661,-42.0278,294.33,87,2,4.7,BR,2023-07-17 03:00:00
296,hirara,24.8,125.2833,301.67,86,76,10.16,JP,2023-07-17 03:00:00
